,cnLibCat,ecoCat
655,"[TN929.53, TP309.3]","[电信, 工程和技术研究与试验发展]"
656,"[TN925.93, TP393.1, TP393.03]","[电信, 公共软件服务]"
657,TP392,"[公共软件服务, 电信]"
658,"[TN948.63, TP391.9]","[通信设备制造, 电信]"
659,"[TM78, TN916.37]","[公共软件服务, 电信]"
660,TN919.81,"[工程和技术研究与试验发展, 电信]"
661,TN919.85,"[通信设备制造, 电信]"
662,"[TP393.02, U492.22]","[电信, 公共软件服务]"
663,TN929.5,"[电信, 公共软件服务]"
664,TN929.533,"[工程和技术研究与试验发展, 电信]"
665,TN929.5,"[通信设备制造, 电信]"
666,TN915.6,"[通信设备制造, 电信]"
667,TN929.5,"[公共软件服务, 电信]"
668,"[TN929.5, TN919.6]","[公共软件服务, 电信]"
669,"[R446, TN929.5]","[医院, 电信]"
670,"[TP319, TN915]","[电信, 公共软件服务]"
671,TN929.5,"[公共软件服务, 电信]"
672,"[TN919.81, TN949.197]","[电视, 电信]"
673,TN919.3,"[工程和技术研究与试验发展, 电信]"
674,"[TN915.02, TN915.07]","[工程和技术研究与试验发展, 电信]"
675,TN915.08,"[工程和技术研究与试验发展, 电信]"
676,"[TP315, TN915.07, F626]","[公共软件服务, 电信]"
677,TP929.5,"[电信, 公共软件服务]"
678,"[TN915.08, TN915.04, TP393.03]","[工程和技术研究与试验发展, 电信]"
679,TP393.4,"[电信, 公共软件服务]"
680,"[TN919.72, TN925]","[工程和技术研究与试验发展, 电信]"
681,TD655.3,"[电信, 通信设备制造]"
682,TP929.5,"[公共软件服务, 电信]"
683,"[TN929.53, TN876.32]","[公共软件服务, 电信]"
684,TN915.07,"[公共软件服务, 电信]"
685,TN929.5,"[通信设备制造, 电信]"
686,TN915.142,"[通信设备制造, 电信]"
687,"[TP393.03, S818.9]","[电信, 畜牧服务业]"
688,"[TN916.2, TN923]",电信
689,TN914,电信
690,TN915.07,电信
691,TN92,电信
692,TN915,电信
693,TN915.06,电信
694,TN915.08,电信
695,TN915.07,电信
696,TN919.8,电信
697,TN915,电信
698,TN919.3,电信
699,TN915.07,电信
700,TN915.5,电信
701,TN915,电信
702,TN915.08,电信
703,TN915.07,电信
704,TN915.1,电信
705,TN915.07,电信
706,TN919.8,电信
707,TN919.3,电信
708,TN919.31,电信
709,TN915.08,电信
710,TN919.5,电信
711,TN919.3,电信
712,TN915.04,电信
713,TN915,电信
714,TN915.08,电信
715,TN915.6,电信
716,TN913.6,电信
717,TN915,电信
718,TN914,电信
719,TN915.04,电信
720,TN92,电信
721,TN919.2,电信
722,TN914,电信
723,TN915.1,电信
724,TN915.1,电信
725,TN917.81,电信
726,TN915.06,电信
727,TN915.07,电信
728,TN915.02,电信
729,TN918.91,电信
730,TN915.07,电信
731,TN915.5,电信
732,TN917.8,电信
733,TN919.5,电信
734,TN915.02,电信
735,TN915.07,电信
736,TN915.6,电信
737,TN919.5,电信
738,TN915.07,电信
739,TN915.5,电信
740,TN915.08,电信
741,TN915.04,电信
742,TN918.91,电信
743,TN919.5,电信
744,TN915.5,电信
745,TN915.07,电信
746,TN919.3,电信
747,TN919.3,电信
748,TN918.91,电信
749,TN919.81,电信
750,TN914,电信
751,TN915.07,电信
752,TN915.07,电信
753,TN915.2,电信
754,TN915.07,电信
755,TN919.5,电信
756,TN915.06,电信
757,TN915.5,电信
758,TN914,电信
759,TN919.5,电信
760,TN915.07,电信
761,TN915.08,电信
762,TN919.3,电信
763,TN919.85,电信
764,TN913.6,电信
765,TN919.8,电信
766,TN919.8,电信
767,TN915.08,电信
768,TN915.07,电信
769,TN915,电信
770,TN915.6,电信
771,TN918.91,电信
772,TN919.3,电信
773,TN915.6,电信
774,TN915.07,电信
775,TN915.07,电信
776,TN914,电信
777,TN919.8,电信
778,TN915.07,电信
779,TN915,电信
780,TN915.06,电信
781,TN919.5,电信
